NCLOC;DCP;NOCom;WMC;;Rang NCLOC;Rang DCP;Rang NOCom;Rang WMC
379;51,03;14;89;;54;442;42;50
268;45,64;11;48;;87;534;88;130
269;49,63;13;63;;85;470;51;90
284;35,16;12;50;;79;619;62;126
216;37,57;11;47;;121;607;88;134
106;47,52;6;31;;250;503;259;233
342;33,98;12;70;;65;626;62;75
269;36,85;11;63;;85;612;88;90
261;39,16;10;56;;90;591;109;110
489;41,79;22;90;;33;567;9;49
82;59,61;7;31;;288;312;211;233
179;47,97;9;42;;160;499;139;164
6;89,47;2;7;;531;75;539;539
70;64,29;2;18;;318;254;539;349
49;68,59;3;17;;378;221;466;355
49;68,79;6;17;;378;220;259;355
8;89,04;5;11;;512;81;311;446
35;80,77;8;14;;423;166;165;388
31;69,9;3;10;;434;209;466;465
153;38,06;4;41;;189;602;380;171
204;40,7;5;37;;133;582;311;204
974;36,09;30;178;;10;616;3;17
429;47,56;15;81;;40;502;34;60
200;39,02;12;51;;137;594;62;120
249;43,02;4;47;;96;561;380;134
6;88,46;2;8;;531;99;539;507
168;50,88;8;42;;173;444;165;164
173;38,65;3;44;;167;597;466;150
214;36,87;8;38;;124;611;165;195
243;45,76;10;59;;99;533;109;99
170;48,95;13;45;;169;480;51;143
335;44,99;10;88;;66;539;109;54
325;34,08;9;57;;70;623;139;108
224;40,11;11;51;;114;588;88;120
106;47,52;7;31;;250;503;211;233
466;48,34;20;124;;36;492;14;32
207;34,08;8;39;;130;623;165;188
84;46,5;8;20;;285;523;165;324
387;40,37;17;113;;51;586;22;35
234;40,31;13;43;;106;587;51;158
11;86,25;7;14;;490;139;211;388
623;42,53;18;151;;25;565;20;24
258;46,69;17;54;;92;518;22;111
434;40,79;12;89;;39;579;62;50
192;38,26;10;41;;146;600;109;171
708;33,02;15;148;;18;627;34;26
169;49,7;12;40;;171;465;62;182
213;48,67;10;45;;125;486;109;143
169;87,26;19;157;;171;121;17;22
37;79,67;2;8;;417;175;539;507
521;51,67;21;127;;31;431;13;30
272;51,6;14;69;;84;434;42;81
258;44,28;13;70;;92;550;51;75
293;48,14;11;76;;76;496;88;67
167;47,15;15;46;;174;508;34;139
142;48,74;10;30;;202;484;109;242
947;42,4;20;159;;11;566;14;21
32;68,32;3;19;;432;223;466;337
35;69,3;2;26;;423;216;539;277
25;69,88;2;12;;444;210;539;422
28;70,83;2;10;;439;202;539;465
7;88,14;2;13;;519;107;539;404
1575;42,73;9;500;;3;562;139;3
398;29,81;8;81;;47;630;165;60
156;34,73;4;22;;183;621;380;303
6;88,46;2;9;;531;99;539;482
5;90;2;8;;574;60;539;507
18;77,78;3;8;;454;182;466;507
221;50,11;5;43;;117;458;311;158
143;38,63;4;19;;199;598;380;337
10;82,76;2;7;;503;156;539;539
82;44,59;2;19;;288;545;539;337
97;35,76;3;18;;265;618;466;349
365;34,94;5;80;;58;620;311;62
110;41,18;3;18;;242;575;466;349
155;38,74;4;24;;185;596;380;290
226;38,42;4;39;;113;599;380;188
113;37,91;3;19;;238;603;466;337
29;66,28;3;11;;438;232;466;446
147;37,71;2;29;;196;605;539;254
43;57;2;6;;396;356;539;594
30;63,86;2;9;;435;258;539;482
72;50,68;2;12;;312;450;539;422
65;53,24;4;21;;332;409;380;315
30;61,54;2;11;;435;287;539;446
7;91,03;3;12;;519;39;466;422
7;86;2;7;;519;144;539;539
5;89,58;2;8;;574;74;539;507
116;46,05;2;28;;234;529;539;259
24;85;4;18;;447;147;380;349
85;53,04;2;20;;282;411;539;324
43;51,14;3;17;;396;440;466;355
46;66,18;2;21;;390;233;539;315
32;69,52;2;22;;432;215;539;303
98;55,86;2;41;;262;364;539;171
229;54,29;2;75;;111;389;539;69
18;71,43;3;6;;454;199;466;594
51;64,83;3;15;;373;247;466;376
137;49,63;11;40;;207;470;88;182
12;78,18;5;7;;474;180;311;539
204;46,03;8;30;;133;530;165;242
126;52,99;9;23;;220;413;139;295
108;51,35;10;25;;248;436;109;282
4;90,91;4;6;;617;41;380;594
393;43,78;6;108;;49;554;259;38
97;56,5;8;21;;265;360;165;315
37;75,97;7;17;;417;189;211;355
176;46,67;7;30;;163;519;211;242
119;46,64;6;35;;229;520;259;220
469;41,38;13;100;;34;573;51;44
180;54,55;9;54;;157;385;139;111
6;91,78;4;10;;531;17;380;465
88;50,84;5;23;;278;446;311;295
95;53,43;8;28;;269;405;165;259
89;53,89;4;24;;275;397;380;290
5;92,19;5;13;;574;8;311;404
86;51,96;6;14;;280;429;259;388
70;53,64;6;15;;318;403;259;376
58;58,57;8;14;;350;332;165;388
9;85;2;7;;507;147;539;539
90;50,82;5;23;;274;447;311;295
5;92,42;3;10;;574;6;466;465
5;91,8;3;10;;574;15;466;465
182;39,13;8;42;;153;592;165;164
158;44,37;8;28;;179;546;165;259
48;61,6;6;15;;384;285;259;376
112;46,92;12;30;;239;515;62;242
6;87,23;2;11;;531;122;539;446
7;82,5;2;8;;519;157;539;507
144;59,44;5;37;;198;313;311;204
7;89,71;4;11;;519;69;380;446
79;49,36;2;46;;295;472;539;139
25;71,26;5;12;;444;201;311;422
6;90,77;4;7;;531;46;380;539
7;88,71;3;7;;519;89;466;539
155;48,68;8;44;;185;485;165;150
146;64,56;7;33;;197;252;211;223
380;48,79;8;94;;53;483;165;48
8;90,8;5;11;;512;44;311;446
152;56,32;8;38;;190;362;165;195
56;63,4;8;15;;357;262;165;376
209;50,94;12;63;;128;443;62;90
126;48,99;7;37;;220;477;211;204
56;62,42;7;13;;357;275;211;404
203;50,85;9;51;;135;445;139;120
255;49,7;13;62;;94;465;51;94
6;91,89;5;9;;531;13;311;482
6;87,23;6;7;;531;122;259;539
181;48,29;2;58;;154;493;539;104
14;88,62;2;20;;462;98;539;324
93;52,06;2;47;;271;428;539;134
66;57,69;2;28;;328;347;539;259
56;60;2;24;;357;309;539;290
4;92,59;4;8;;617;3;380;507
42;65,29;4;14;;400;243;380;388
50;61,24;4;16;;376;290;380;366
38;67,52;6;12;;414;226;259;422
42;65,29;4;15;;400;243;380;376
15;90,63;4;17;;459;51;380;355
283;54,13;6;66;;80;394;259;85
98;57,21;8;19;;262;352;165;337
79;57,07;8;20;;295;353;165;324
316;50,08;11;59;;72;459;88;99
