NCLOC;DCP;NOCom;WMC;;;;;;;;;;;;;;
5;92,19;5;13;;;;;;;;;;;;;;
86;51,96;6;14;;;;;;;;;;;;;;
70;53,64;6;15;;;;;;;;;;;;;;
58;58,57;8;14;;;;;;;;;;;;;;
9;85;2;7;;;;;;;;;;;;;;
90;50,82;5;23;;;;;;;;;;;;;;
5;92,42;3;10;;;;;;;;;;;;;;
5;91,8;3;10;;;;;;;;;;;;;;
182;39,13;8;42;;;;;;;;;;;;;;
158;44,37;8;28;;;;;;;;;;;;;;
48;61,6;6;15;;;;;;;;;;;;;;
112;46,92;12;30;;;;;;;;;;;;;;
6;87,23;2;11;;;;;;;;;;;;;;
7;82,5;2;8;;;;;;;;;;;;;;
144;59,44;5;37;;;;;;;;;;;;;;
7;89,71;4;11;;;;;;;;;;;;;;
79;49,36;2;46;;;;;;;;;;;;;;
25;71,26;5;12;;;;;;;;;;;;;;
6;90,77;4;7;;;;;;;;;;;;;;
7;88,71;3;7;;;;;;;;;;;;;;
155;48,68;8;44;;;;;;;;;;;;;;
146;64,56;7;33;;;;;;;;;;;;;;
380;48,79;8;94;;;;;;;;;;;;;;
8;90,8;5;11;;;;;;;;;;;;;;
152;56,32;8;38;;;;;;;;;;;;;;
56;63,4;8;15;;;;;;;;;;;;;;
209;50,94;12;63;;;;;;;;;;;;;;
126;48,99;7;37;;;;;;;;;;;;;;
56;62,42;7;13;;;;;;;;;;;;;;
203;50,85;9;51;;;;;;;;;;;;;;
255;49,7;13;62;;;;;;;;;;;;;;
6;91,89;5;9;;;;;;;;;;;;;;
6;87,23;6;7;;;;;;;;;;;;;;
181;48,29;2;58;;;;;;;;;;;;;;
14;88,62;2;20;;;;;;;;;;;;;;
93;52,06;2;47;;;;;;;;;;;;;;
66;57,69;2;28;;;;;;;;;;;;;;
56;60;2;24;;;;;;;;;;;;;;
4;92,59;4;8;;;;;;;;;;;;;;
42;65,29;4;14;;;;;;;;;;;;;;
50;61,24;4;16;;;;;;;;;;;;;;
38;67,52;6;12;;;;;;;;;;;;;;
42;65,29;4;15;;;;;;;;;;;;;;
15;90,63;4;17;;;;;;;;;;;;;;
283;54,13;6;66;;;;;;;;;;;;;;
98;57,21;8;19;;;;;;;;;;;;;;
79;57,07;8;20;;;;;;;;;;;;;;
316;50,08;11;59;;;;;;;;;;;;;;
203;54,38;6;43;;;;;;;;;;;;;;
70;68,33;7;42;;;;;;;;;;;;;;
28;72;3;12;;;;;;;;;;;;;;
5;91,23;4;12;;;;;;;;;;;;;;
11;86,25;3;7;;;;;;;;;;;;;;
5;91,23;3;9;;;;;;;;;;;;;;
1459;37,27;13;461;;;;;;;;;;;;;;
136;55,7;7;37;;;;;;;;;;;;;;
78;56,91;4;22;;;;;;;;;;;;;;
8;85,96;3;8;;;;;;;;;;;;;;
5;89,13;3;7;;;;;;;;;;;;;;
127;60,68;14;45;;;;;;;;;;;;;;
42;67,19;6;13;;;;;;;;;;;;;;
13;90,78;3;14;;;;;;;;;;;;;;
50;57,98;4;15;;;;;;;;;;;;;;
4;91,49;2;6;;;;;;;;;;;;;;
4;91,49;3;9;;;;;;;;;;;;;;
4;90,7;3;6;;;;;;;;;;;;;;
5;89,8;5;9;;;;;;;;;;;;;;
79;64,25;12;39;;;;;;;;;;;;;;
9;84,48;2;6;;;;;;;;;;;;;;
5;90,74;3;9;;;;;;;;;;;;;;
11;85,9;6;11;;;;;;;;;;;;;;
8;86,21;2;8;;;;;;;;;;;;;;
4;91,49;2;7;;;;;;;;;;;;;;
109;60,07;5;23;;;;;;;;;;;;;;
96;48,39;2;21;;;;;;;;;;;;;;
4;91,49;4;8;;;;;;;;;;;;;;
72;50;4;18;;;;;;;;;;;;;;
4;90,24;2;4;;;;;;;;;;;;;;
85;51,43;4;17;;;;;;;;;;;;;;
6;86,96;3;5;;;;;;;;;;;;;;
156;50,32;4;39;;;;;;;;;;;;;;
102;45,45;7;26;;;;;;;;;;;;;;
56;58,52;8;14;;;;;;;;;;;;;;
149;52,7;8;41;;;;;;;;;;;;;;
244;47,19;7;59;;;;;;;;;;;;;;
4;92;4;6;;;;;;;;;;;;;;
84;44,37;9;20;;;;;;;;;;;;;;
5;90,38;5;6;;;;;;;;;;;;;;
8;91,01;5;16;;;;;;;;;;;;;;
12;88,35;6;16;;;;;;;;;;;;;;
72;48,94;9;12;;;;;;;;;;;;;;
49;54,21;7;11;;;;;;;;;;;;;;
162;43,55;16;42;;;;;;;;;;;;;;
196;53,77;8;57;;;;;;;;;;;;;;
6;91,43;4;7;;;;;;;;;;;;;;
6;88,68;5;6;;;;;;;;;;;;;;
12;80,65;2;6;;;;;;;;;;;;;;
12;80,65;2;6;;;;;;;;;;;;;;
12;80,65;2;6;;;;;;;;;;;;;;
12;80,33;2;6;;;;;;;;;;;;;;
12;80,95;2;6;;;;;;;;;;;;;;
12;79,66;2;6;;;;;;;;;;;;;;
110;44,72;7;29;;;;;;;;;;;;;;
24;88,99;4;28;;;;;;;;;;;;;;
125;52,47;7;21;;;;;;;;;;;;;;
17;89,7;5;37;;;;;;;;;;;;;;
412;52,59;8;70;;;;;;;;;;;;;;
239;54,3;7;69;;;;;;;;;;;;;;
196;48,42;7;45;;;;;;;;;;;;;;
363;46,93;8;63;;;;;;;;;;;;;;
62;60,26;3;12;;;;;;;;;;;;;;
213;54,19;8;64;;;;;;;;;;;;;;
6;88,46;5;6;;;;;;;;;;;;;;
65;60,37;6;13;;;;;;;;;;;;;;
8;87,88;4;13;;;;;;;;;;;;;;
223;32,42;4;44;;;;;;;;;;;;;;
130;49,81;7;33;;;;;;;;;;;;;;
188;58,41;10;54;;;;;;;;;;;;;;
9;88,75;4;11;;;;;;;;;;;;;;
234;44,29;5;54;;;;;;;;;;;;;;
44;70,07;5;16;;;;;;;;;;;;;;
187;57,01;11;39;;;;;;;;;;;;;;
403;53,14;4;96;;;;;;;;;;;;;;
111;57,31;4;23;;;;;;;;;;;;;;
197;55,53;9;44;;;;;;;;;;;;;;
194;52,91;8;41;;;;;;;;;;;;;;
207;53,79;9;41;;;;;;;;;;;;;;
239;51,72;8;53;;;;;;;;;;;;;;
165;44,26;8;44;;;;;;;;;;;;;;
